iter	Passed	Remaining
0	11	11726
1	25	12654
2	39	13150
3	53	13246
4	66	13303
5	81	13500
6	96	13663
7	112	13921
8	126	13886
9	139	13790
10	152	13725
11	164	13553
12	176	13403
13	188	13249
14	196	12928
15	209	12886
16	222	12888
17	236	12918
18	250	12918
19	262	12870
20	275	12820
21	289	12847
22	301	12808
23	313	12732
24	326	12729
25	335	12578
26	347	12520
27	360	12515
28	369	12355
29	381	12329
30	393	12303
31	447	13526
32	460	13508
33	474	13477
34	491	13548
35	506	13566
36	520	13536
37	533	13503
38	548	13513
39	561	13485
40	575	13457
41	588	13429
42	602	13417
43	618	13435
44	634	13456
45	649	13474
46	665	13484
47	678	13466
48	692	13438
49	707	13438
50	720	13413
51	735	13406
52	749	13388
53	761	13332
54	771	13258
55	786	13256
56	800	13238
57	837	13594
58	851	13576
59	867	13584
60	880	13546
61	896	13560
62	911	13553
63	925	13532
64	940	13527
65	953	13492
66	980	13647
67	994	13626
68	1008	13605
69	1021	13564
70	1034	13538
71	1048	13517
72	1061	13483
73	1071	13406
74	1084	13369
75	1095	13314
76	1108	13288
77	1122	13265
78	1135	13237
79	1146	13186
80	1158	13141
81	1166	13063
82	1179	13028
83	1190	12982
84	1205	12980
85	1218	12951
86	1231	12922
87	1241	12870
88	1252	12818
89	1262	12769
90	1272	12715
91	1282	12655
92	1293	12613
93	1303	12568
94	1314	12524
95	1326	12491
96	1336	12442
97	1346	12394
98	1356	12344
99	1367	12306
100	1379	12276
101	1390	12240
102	1401	12205
103	1414	12184
104	1425	12149
105	1436	12112
106	1446	12071
107	1458	12048
108	1469	12012
109	1481	11989
110	1493	11964
111	1505	11938
112	1517	11911
113	1527	11874
114	1538	11839
115	1551	11819
116	1566	11819
117	1576	11782
118	1589	11764
119	1604	11763
120	1615	11734
121	1626	11702
122	1636	11667
123	1647	11636
124	1657	11600
125	1668	11571
126	1678	11534
127	1688	11501
128	1698	11467
129	1709	11437
130	1720	11415
131	1729	11370
132	1738	11332
133	1749	11305
134	1767	11325
135	1778	11298
136	1789	11274
137	1800	11247
138	1814	11239
139	1829	11235
140	1841	11215
141	1871	11310
142	1885	11297
143	1898	11283
144	1914	11288
145	1936	11324
146	1951	11325
147	1963	11305
148	1972	11268
149	1983	11240
150	1991	11195
151	1999	11157
152	2010	11128
153	2019	11091
154	2028	11059
155	2037	11024
156	2047	10994
157	2058	10968
158	2068	10939
159	2078	10912
160	2088	10884
161	2099	10860
162	2109	10829
163	2119	10801
164	2129	10775
165	2140	10753
166	2153	10741
167	2164	10719
168	2175	10696
169	2185	10671
170	2195	10643
171	2204	10611
172	2215	10591
173	2229	10585
174	2242	10572
175	2252	10547
176	2263	10525
177	2274	10502
178	2284	10479
179	2293	10447
180	2306	10434
181	2316	10411
182	2325	10381
183	2333	10349
184	2344	10329
185	2354	10304
186	2364	10278
187	2375	10259
188	2385	10238
189	2394	10208
190	2404	10183
191	2414	10161
192	2425	10141
193	2435	10120
194	2446	10099
195	2456	10076
196	2467	10057
197	2478	10038
198	2489	10020
199	2500	10002
200	2511	9985
201	2523	9967
202	2534	9949
203	2544	9929
204	2555	9909
205	2570	9906
206	2580	9885
207	2591	9868
208	2603	9852
209	2613	9830
210	2622	9806
211	2632	9785
212	2642	9762
213	2651	9739
214	2660	9713
215	2670	9693
216	2680	9672
217	2690	9650
218	2703	9640
219	2713	9620
220	2723	9601
221	2735	9587
222	2747	9572
223	2760	9561
224	2769	9539
225	2779	9520
226	2793	9512
227	2840	9616
228	2850	9598
229	2859	9573
230	2872	9561
231	2883	9544
232	2895	9531
233	2906	9513
234	2918	9500
235	2927	9476
236	2937	9455
237	2945	9429
238	2955	9410
239	2965	9390
240	2977	9378
241	2990	9365
242	3001	9348
243	3010	9327
244	3020	9308
245	3031	9291
246	3041	9273
247	3052	9257
248	3063	9239
249	3075	9226
250	3085	9207
251	3096	9189
252	3106	9173
253	3116	9153
254	3127	9137
255	3138	9120
256	3149	9106
257	3161	9092
258	3174	9082
259	3188	9073
260	3201	9063
261	3212	9048
262	3222	9030
263	3233	9013
264	3243	8995
265	3252	8974
266	3262	8956
267	3271	8936
268	3282	8919
269	3292	8901
270	3301	8881
271	3314	8872
272	3327	8862
273	3339	8849
274	3351	8836
275	3363	8823
276	3375	8810
277	3387	8796
278	3399	8785
279	3412	8776
280	3425	8765
281	3437	8752
282	3450	8742
283	3463	8732
284	3475	8720
285	3487	8706
286	3498	8692
287	3510	8677
288	3517	8653
289	3525	8632
290	3534	8610
291	3545	8595
292	3555	8579
293	3566	8565
294	3577	8549
295	3587	8532
296	3596	8513
297	3607	8498
298	3617	8481
299	3627	8463
300	3638	8449
301	3647	8431
302	3657	8412
303	3666	8393
304	3677	8379
305	3688	8365
306	3697	8347
307	3707	8329
308	3717	8313
309	3726	8293
310	3736	8278
311	3746	8261
312	3756	8244
313	3766	8229
314	3776	8213
315	3786	8195
316	3795	8177
317	3805	8162
318	3815	8146
319	3823	8125
320	3832	8107
321	3844	8094
322	3853	8076
323	3864	8062
324	3875	8048
325	3885	8033
326	3894	8014
327	3901	7994
328	3911	7977
329	3921	7961
330	3930	7944
331	3941	7930
332	3950	7913
333	3958	7894
334	3970	7882
335	3981	7867
336	3992	7854
337	4001	7836
338	4011	7821
339	4021	7806
340	4030	7789
341	4041	7775
342	4053	7763
343	4063	7749
344	4076	7738
345	4086	7723
346	4095	7706
347	4123	7725
348	4133	7709
349	4149	7707
350	4157	7687
351	4170	7676
352	4179	7661
353	4191	7648
354	4203	7636
355	4214	7623
356	4225	7609
357	4237	7599
358	4248	7585
359	4260	7574
360	4270	7559
361	4281	7545
362	4291	7530
363	4301	7516
364	4312	7502
365	4322	7488
366	4330	7469
367	4341	7455
368	4352	7442
369	4365	7433
370	4376	7420
371	4387	7407
372	4399	7394
373	4410	7382
374	4421	7369
375	4430	7353
376	4440	7338
377	4451	7325
378	4461	7311
379	4472	7297
380	4481	7280
381	4490	7264
382	4502	7252
383	4512	7238
384	4536	7246
385	4546	7232
386	4556	7217
387	4567	7204
388	4578	7190
389	4588	7176
390	4598	7161
391	4607	7146
392	4617	7131
393	4626	7116
394	4637	7102
395	4648	7089
396	4658	7075
397	4668	7061
398	4679	7048
399	4691	7037
400	4707	7031
401	4718	7018
402	4730	7007
403	4741	6995
404	4756	6987
405	4767	6975
406	4779	6963
407	4790	6951
408	4801	6938
409	4812	6925
410	4823	6912
411	4834	6899
412	4846	6888
413	4859	6877
414	4870	6866
415	4883	6855
416	4894	6842
417	4905	6830
418	4917	6818
419	4928	6806
420	4939	6793
421	4950	6780
422	4959	6765
423	4969	6751
424	4982	6741
425	4994	6730
426	5005	6717
427	5015	6703
428	5025	6689
429	5036	6675
