iter	Passed	Remaining
0	6	6524
1	15	7756
2	24	8040
3	32	8004
4	40	7999
5	47	7912
6	55	7890
7	73	9146
8	81	8942
9	88	8783
10	96	8641
11	104	8568
12	113	8580
13	120	8494
14	128	8444
15	136	8379
16	143	8298
17	150	8233
18	158	8187
19	166	8142
20	173	8104
21	181	8071
22	189	8046
23	197	8012
24	204	7992
25	213	8005
26	223	8052
27	233	8095
28	243	8166
29	253	8185
30	261	8175
31	270	8195
32	280	8208
33	291	8271
34	298	8218
35	304	8156
36	311	8095
37	318	8054
38	324	8005
39	331	7961
40	338	7918
41	345	7876
42	354	7882
43	360	7842
44	368	7814
45	374	7770
46	381	7739
47	388	7699
48	394	7664
49	402	7638
50	408	7608
51	416	7586
52	422	7558
53	430	7545
54	438	7534
55	446	7534
56	456	7544
57	463	7528
58	470	7496
59	477	7475
60	483	7445
61	490	7415
62	497	7393
63	503	7365
64	510	7346
65	517	7326
66	524	7300
67	539	7394
68	546	7371
69	552	7343
70	559	7318
71	565	7292
72	572	7266
73	578	7243
74	585	7217
75	590	7183
76	597	7158
77	604	7142
78	611	7125
79	618	7107
80	626	7111
81	633	7094
82	641	7091
83	649	7085
84	657	7074
85	663	7056
86	670	7039
87	676	7014
88	682	6981
89	687	6952
90	693	6927
91	698	6896
92	704	6867
93	710	6845
94	715	6818
95	721	6795
96	727	6771
97	733	6751
98	739	6733
99	745	6706
100	750	6680
101	756	6659
102	762	6636
103	767	6614
104	773	6592
105	778	6565
106	783	6538
107	789	6518
108	794	6496
109	800	6476
110	806	6458
111	812	6438
112	817	6415
113	825	6415
114	830	6392
115	838	6387
116	843	6365
117	848	6345
118	855	6336
119	862	6326
120	870	6322
121	875	6302
122	881	6282
123	887	6270
124	892	6249
125	900	6246
126	906	6234
127	913	6223
128	921	6218
129	926	6200
130	932	6185
131	937	6167
132	943	6148
133	949	6133
134	954	6116
135	960	6099
136	965	6083
137	971	6068
138	978	6061
139	985	6051
140	991	6041
141	996	6023
142	1003	6014
143	1009	6003
144	1016	5993
145	1022	5983
146	1029	5973
147	1037	5973
148	1044	5967
149	1053	5972
150	1059	5954
151	1065	5942
152	1070	5927
153	1076	5912
154	1082	5901
155	1088	5891
156	1095	5879
157	1100	5864
158	1105	5847
159	1111	5835
160	1117	5821
161	1122	5805
162	1128	5793
163	1133	5777
164	1138	5761
165	1143	5747
166	1149	5732
167	1154	5717
168	1159	5702
169	1164	5686
170	1169	5671
171	1175	5657
172	1180	5642
173	1185	5627
174	1190	5613
175	1195	5598
176	1200	5584
177	1206	5571
178	1211	5557
179	1217	5548
180	1223	5536
181	1228	5523
182	1234	5509
